product_i,product_j,city,cross_elast
540432,540438,Hyderabad,0.0259
540432,541681,Hyderabad,0.0259
540432,543783,Hyderabad,0.0259
540432,543784,Hyderabad,0.0259
540432,553767,Hyderabad,0.0259
540432,553768,Hyderabad,0.0259
540432,560813,Hyderabad,0.0259
540432,572518,Hyderabad,0.0259
540438,540432,Hyderabad,0.0259
540438,541681,Hyderabad,0.0259
540438,543783,Hyderabad,0.0259
540438,543784,Hyderabad,0.0259
540438,553767,Hyderabad,0.0259
540438,553768,Hyderabad,0.0259
540438,560813,Hyderabad,0.0259
540438,572518,Hyderabad,0.0259
541681,540432,Hyderabad,0.0259
541681,540438,Hyderabad,0.0259
541681,543783,Hyderabad,0.0259
541681,543784,Hyderabad,0.0259
541681,553767,Hyderabad,0.0259
541681,553768,Hyderabad,0.0259
541681,560813,Hyderabad,0.0259
541681,572518,Hyderabad,0.0259
543783,540432,Hyderabad,0.0259
543783,540438,Hyderabad,0.0259
543783,541681,Hyderabad,0.0259
543783,543784,Hyderabad,0.0259
543783,553767,Hyderabad,0.0259
543783,553768,Hyderabad,0.0259
543783,560813,Hyderabad,0.0259
543783,572518,Hyderabad,0.0259
543784,540432,Hyderabad,0.0259
543784,540438,Hyderabad,0.0259
543784,541681,Hyderabad,0.0259
543784,543783,Hyderabad,0.0259
543784,553767,Hyderabad,0.0259
543784,553768,Hyderabad,0.0259
543784,560813,Hyderabad,0.0259
543784,572518,Hyderabad,0.0259
553767,540432,Hyderabad,0.0259
553767,540438,Hyderabad,0.0259
553767,541681,Hyderabad,0.0259
553767,543783,Hyderabad,0.0259
553767,543784,Hyderabad,0.0259
553767,553768,Hyderabad,0.0259
553767,560813,Hyderabad,0.0259
553767,572518,Hyderabad,0.0259
553768,540432,Hyderabad,0.0259
553768,540438,Hyderabad,0.0259
553768,541681,Hyderabad,0.0259
553768,543783,Hyderabad,0.0259
553768,543784,Hyderabad,0.0259
553768,553767,Hyderabad,0.0259
553768,560813,Hyderabad,0.0259
553768,572518,Hyderabad,0.0259
560813,540432,Hyderabad,0.0259
560813,540438,Hyderabad,0.0259
560813,541681,Hyderabad,0.0259
560813,543783,Hyderabad,0.0259
560813,543784,Hyderabad,0.0259
560813,553767,Hyderabad,0.0259
560813,553768,Hyderabad,0.0259
560813,572518,Hyderabad,0.0259
572518,540432,Hyderabad,0.0259
572518,540438,Hyderabad,0.0259
572518,541681,Hyderabad,0.0259
